,Unnamed: 0,企业名称,所属行业,招聘岗位,工作地点,条件,企业信息,薪资,URL
173,173,京东集团,电子商务,数据分析,北京·通州区·次渠,1-3年本科,电子商务已上市10000人以上,8-15K,https://www.zhipin.com//job_detail/391d6846478232561XN82Ni4FFI~.html
174,174,滴滴,移动互联网,数据分析实习生,北京·海淀区·西北旺,4天/周4个月学历不限,移动互联网D轮及以上1000-9999人,200-260元/天,https://www.zhipin.com//job_detail/4e67e2036a28d9951nd43di0EldR.html
175,175,京东集团,电子商务,数据分析实习生,北京·大兴区·亦庄,经验不限本科,电子商务已上市10000人以上,3-4K,https://www.zhipin.com//job_detail/58223f71768aba501nNz3Nm-EVtT.html
176,176,京东集团,电子商务,数据分析师,北京·大兴区·亦庄,3-5年本科,电子商务已上市10000人以上,15-30K·14薪,https://www.zhipin.com//job_detail/5cb403ff44df96ee1n140tS1E1JR.html
177,177,滴滴,移动互联网,数据分析师实习生,北京·海淀区·西北旺,4天/周4个月硕士,移动互联网D轮及以上1000-9999人,200-260元/天,https://www.zhipin.com//job_detail/f16630c38e7225460XF_39y7FFM~.html
0,0,法本,计算机软件,数据分析,深圳·福田区·会展中心,1-3年本科,计算机软件已上市10000人以上,9-14K,https://www.zhipin.com//job_detail/a5322f6dc547240c1n1_2Ny_EVJT.html
1,1,货拉拉科技,互联网,数据分析专员,深圳·福田区·梅林,经验不限大专,互联网D轮及以上10000人以上,6-10K,https://www.zhipin.com//job_detail/faa3d7dd2ebde44a1n1y0ti1FFtS.html
2,2,升学教育,在线教育,数据分析师,深圳·龙岗区·平湖,在校/应届大专,在线教育B轮1000-9999人,8-10K,https://www.zhipin.com//job_detail/16ebfc21b13361ca1nN_3dS9E1NR.html
3,3,一望科技,互联网,数据分析,深圳·南山区·科技园,经验不限学历不限,互联网未融资0-20人,5-7K,https://www.zhipin.com//job_detail/78c481c4fbb48c8d1nN53Nq1GFZV.html
4,4,中软国际,计算机软件,数据分析,深圳·龙岗区·坂田,3-5年本科,计算机软件已上市10000人以上,12-18K,https://www.zhipin.com//job_detail/803d273edba886a233x53Ni8E1I~.html
5,5,腾讯,互联网,数据分析,深圳·南山区·科技园,5-10年本科,互联网不需要融资10000人以上,20-40K·16薪,https://www.zhipin.com//job_detail/b361f61d473610a41n142tq5FVpU.html
6,6,软通动力信息技术集团,计算机软件,数据分析师,深圳·南山区·科技园,3-5年大专,计算机软件已上市10000人以上,12-13K,https://www.zhipin.com//job_detail/ce15c663410336811n1y3ti4GFRQ.html
7,7,嘉德利亨,互联网,数据分析,深圳·罗湖区·笋岗,1-3年学历不限,互联网20-99人,7-12K,https://www.zhipin.com//job_detail/da36346d5780a6e71nNz29m8E1ZV.html
8,8,盛宁树,互联网,数据分析师,深圳·福田区·华强南,经验不限大专,互联网100-499人,6-8K,https://www.zhipin.com//job_detail/0f3ac78820f576161nN_3Ny_EFZQ.html
9,9,神州信息,计算机软件,数据分析师,深圳·福田区·新洲,3-5年大专,计算机软件已上市10000人以上,12-15K,https://www.zhipin.com//job_detail/4df72f79e939e75b1n1y0tW7EFZV.html
10,10,亿达信息,计算机软件,数据分析,深圳·南山区·科技园,1-3年大专,计算机软件不需要融资1000-9999人,9-10K,https://www.zhipin.com//job_detail/004b701ea9451c661nd709S6FltT.html
11,11,农耕记餐饮,生活服务,数据分析主管,深圳·龙华区·民治,5-10年大专,生活服务不需要融资500-999人,11-15K,https://www.zhipin.com//job_detail/d5a205ba20a5bdc21nN_29q5EFNQ.html
12,12,升学教育,在线教育,数据分析,深圳·龙岗区·平湖,1年以内大专,在线教育B轮1000-9999人,8-10K,https://www.zhipin.com//job_detail/3b52cc09c0e420f81nN_3Ni9FlNS.html
13,13,大军,计算机软件,数据分析助理,深圳·宝安区·新安,经验不限大专,计算机软件500-999人,5-7K,https://www.zhipin.com//job_detail/d4b669247e8e7b691nxz2921GFZQ.html
14,14,汇合发展,企业服务,数据分析,深圳·南山区·科技园,1-3年本科,企业服务不需要融资10000人以上,8-13K·13薪,https://www.zhipin.com//job_detail/3ee91b870a1510a70Hx62NS5FlM~.html
15,15,软通动力信息技术集团,计算机软件,数据分析,深圳·南山区·科技园,3-5年本科,计算机软件已上市10000人以上,11-20K,https://www.zhipin.com//job_detail/6f899583eb200e4d1n1y2tu9GFRT.html
16,16,中软国际,计算机软件,数据分析,深圳·龙岗区·坂田,3-5年本科,计算机软件已上市10000人以上,12-24K,https://www.zhipin.com//job_detail/ec7422920a8598ba1nB_3N66E1JR.html
17,17,博彦科技,计算机软件,数据分析师,深圳·南山区·科技园,1-3年大专,计算机软件已上市10000人以上,13-14K,https://www.zhipin.com//job_detail/a3d4b6c6377f43bd1n1909y1FVFS.html
18,18,鹏开科技,计算机软件,数据分析,深圳·福田区·市民中心,3-5年本科,计算机软件500-999人,15-18K,https://www.zhipin.com//job_detail/38f0a7ef407827c11nx-3dy7FFVS.html
19,19,一灯,互联网金融,证券数据分析,深圳·龙华区·龙华,1年以内大专,互联网金融20-99人,5-10K,https://www.zhipin.com//job_detail/5bb7c2b4221e3b471nV_2N-8EltR.html
20,20,亿达信息,计算机软件,数据分析,深圳·南山区·科技园,1-3年本科,计算机软件不需要融资1000-9999人,9-10K,https://www.zhipin.com//job_detail/001fc1566e62a3401n1_3N-7GFRQ.html
21,21,递四方,物流/仓储,运营数据分析,深圳·宝安区·福永,经验不限大专,物流/仓储D轮及以上10000人以上,6-10K·13薪,https://www.zhipin.com//job_detail/a56569286dfec4101nx83dm1EVZQ.html
22,22,翔鼎通,咨询,数据分析助理（双休+包住）,深圳·福田区·梅林,经验不限大专,咨询100-499人,6-10K,https://www.zhipin.com//job_detail/0a82ba1419c1240a1nx-09m4GVdT.html
23,23,橙信融通,计算机软件,数据分析,深圳·福田区·皇岗,1-3年大专,计算机软件天使轮100-499人,14-18K,https://www.zhipin.com//job_detail/da42e93a3e44d1251nx_0920ElpQ.html
24,24,TCL实业,智能硬件,数据分析实习生,深圳,5天/周3个月本科,智能硬件不需要融资10000人以上,140-240元/天,https://www.zhipin.com//job_detail/fecac58cd420f9241n1_0tW4E1BR.html
25,25,格瑞邦,批发/零售,数据分析专员,深圳·龙华区·大浪,1-3年大专,批发/零售20-99人,6-8K,https://www.zhipin.com//job_detail/5035419f4aa886e31nxy09m8GVZV.html
26,26,弘毅佳,贸易/进出口,数据分析助理,深圳·龙华区·龙华,经验不限大专,贸易/进出口20-99人,5-7K,https://www.zhipin.com//job_detail/3d08963ae79ec8881nJ70ti1EldT.html
27,27,美美商业服务(深...,贸易/进出口,数据分析助理,深圳·福田区·梅林,1年以内大专,贸易/进出口100-499人,7-8K,https://www.zhipin.com//job_detail/129f4a0d6aa5cd091nF_29m1FFFQ.html
28,28,彭秦曹科技有限公司,广播/影视,数据分析助理,深圳·宝安区·新安,经验不限大专,广播/影视不需要融资100-499人,7-9K,https://www.zhipin.com//job_detail/7e4d7620d51540fe1nJ93d29GVJR.html
29,29,货拉拉科技,互联网,数据分析师,深圳·福田区·梅林,经验不限硕士,互联网D轮及以上10000人以上,5-10K,https://www.zhipin.com//job_detail/0bca88b693ff2eb31nx-2dy_GVJQ.html
30,30,若果科技,移动互联网,用户数据分析,深圳·龙华区·民治,经验不限大专,移动互联网未融资100-499人,7-10K,https://www.zhipin.com//job_detail/3a6e35a11d3ebaf61nJ_3Nm6E1JR.html
31,31,观远数据,企业服务,数据分析师,深圳·南山区·科技园,4天/周6个月本科,企业服务B轮100-499人,200-220元/天,https://www.zhipin.com//job_detail/f2bc3b3f3d6abc1b1nN_3d29GVdS.html
32,32,升途科技,计算机软件,数据分析助理,深圳·南山区·科技园,经验不限本科,计算机软件20-99人,7-9K·14薪,https://www.zhipin.com//job_detail/7665d95f95f082b01nJ43dS_EldS.html
33,33,恒信永利,互联网金融,数据分析,深圳·南山区·西丽,1-3年大专,互联网金融不需要融资1000-9999人,6-12K,https://www.zhipin.com//job_detail/d918c8cd9fa259121nF92tm1EFY~.html
34,34,货拉拉科技,互联网,数据分析师,深圳·福田区·梅林,经验不限硕士,互联网D轮及以上10000人以上,5-10K,https://www.zhipin.com//job_detail/0bca88b693ff2eb31nx-2dy_GVJQ.html
35,35,深圳市微知彰达经...,数据服务,数据分析,深圳·南山区·华侨城,1-3年硕士,数据服务C轮20-99人,15-30K·16薪,https://www.zhipin.com//job_detail/71c2c66191431bf01nN82921F1JQ.html
36,36,港福珠宝,珠宝/首饰,数据分析师,深圳,1-3年大专,珠宝/首饰不需要融资100-499人,7-10K,https://www.zhipin.com//job_detail/59cc186008fe01b81nJz3dW8FlRV.html
37,37,蓝思,医疗健康,数据分析师助理,深圳,5天/周3个月本科,医疗健康不需要融资20-99人,80-100元/天,https://www.zhipin.com//job_detail/f4105c5b1a8c7a561nV_29m7FVNR.html
38,38,沃尔玛(中国),生活服务,数据分析-实习生,深圳·福田区·竹子林,5天/周3个月本科,生活服务未融资10000人以上,100-120元/天,https://www.zhipin.com//job_detail/3ea4eaa6e3aa206f1nx82Ni8FlZQ.html
39,39,优智开发,移动互联网,数据分析师,深圳·南山区·科技园,5-10年本科,移动互联网500-999人,30-50K,https://www.zhipin.com//job_detail/8416e58a2dda9da51nxy2Ny5EFdR.html
40,40,美狮物流集团,交通/运输,数据分析员,深圳·龙岗区·坂田,1-3年本科,交通/运输A轮100-499人,7-10K,https://www.zhipin.com//job_detail/4da76f5e6fe59c9e1nx80tW_FVZR.html
41,41,华智赢启,企业服务,数据分析,深圳·南山区·海岸城,3-5年本科,企业服务不需要融资20-99人,10-15K,https://www.zhipin.com//job_detail/e5269ddebdf90f361nJ83N6-F1FS.html
42,42,中软国际,计算机软件,数据分析,深圳·福田区·福田保税区,3-5年本科,计算机软件已上市10000人以上,14-20K·13薪,https://www.zhipin.com//job_detail/4f3dbafd1212f0d71nN_3N-1GFBR.html
43,43,深圳一苣,计算机软件,数据分析,深圳·罗湖区·笋岗,3-5年本科,计算机软件20-99人,18-25K,https://www.zhipin.com//job_detail/0668d8c816ba99ae1nxy39u1EVNR.html
44,44,重投华讯,智能硬件,数据分析专员,深圳·宝安区·西乡,1-3年学历不限,智能硬件不需要融资100-499人,8-13K·14薪,https://www.zhipin.com//job_detail/c041c106055b6f861nZ729W4F1ZV.html
45,45,丰图科技,互联网,数据分析-实习生,深圳·南山区·科技园,5天/周3个月硕士,互联网A轮1000-9999人,200-250元/天,https://www.zhipin.com//job_detail/201485dbb3e4b4811nx_3Ni_EVRR.html
46,46,海洲鹰,电子商务,数据分析师,深圳·宝安区·松岗,1-3年大专,电子商务20-99人,7-12K,https://www.zhipin.com//job_detail/a8e54c33bd2c03de1nJ-2N2_GVNV.html
47,47,深圳市左右家私,其他行业,经营数据分析经理,深圳,5-10年本科,其他行业未融资1000-9999人,10-15K,https://www.zhipin.com//job_detail/7e242ad3a01cfd331nN_2t67FFJR.html
48,48,麦风科技,互联网,网站数据分析师,深圳,在校/应届本科,互联网A轮100-499人,7-9K·14薪,https://www.zhipin.com//job_detail/e625f520796b42b71nxy2t-8FVpT.html
49,49,周大生珠宝,其他行业,数据分析师,深圳·罗湖区·水贝,经验不限本科,其他行业已上市1000-9999人,6-10K·14薪,https://www.zhipin.com//job_detail/093b15b31d5f695a1nJ_3d68E1tR.html
50,50,星河谷,电子商务,数据分析师,深圳,1-3年大专,电子商务未融资100-499人,8-13K,https://www.zhipin.com//job_detail/18221f344aa674f21nN529y0FFVT.html
51,51,智汇创想,互联网,数据分析,深圳·龙岗区·坂田,3-5年本科,互联网未融资1000-9999人,10-15K·14薪,https://www.zhipin.com//job_detail/24b78b500c1b8d931nZ_3ti1FVZR.html
52,52,顺势腾辉科技,计算机软件,数据分析,深圳·福田区·皇岗,3-5年本科,计算机软件不需要融资100-499人,12-20K·13薪,https://www.zhipin.com//job_detail/35eeb30c6c5673071nx_09y-FlNR.html
53,53,深圳市尚夏实业有...,互联网,数据分析专员,深圳,1-3年大专,互联网20-99人,9-10K·13薪,https://www.zhipin.com//job_detail/4b0d8b20ab2dc1021nF53t24EFFR.html
54,54,好兄弟,批发/零售,商品数据分析,深圳,1年以内大专,批发/零售20-99人,8-10K,https://www.zhipin.com//job_detail/66d27c4346d6cc7d1nF-2t2-E1JS.html
55,55,今日头条,移动互联网,海外数据分析实习生,深圳·南山区·南油,3天/周3个月本科,移动互联网不需要融资10000人以上,200-250元/天,https://www.zhipin.com//job_detail/9a0627bb2bc7ccd31nJ829S1FFNQ.html
56,56,宝视佳科技,电子商务,数据分析专员,深圳,1年以内本科,电子商务不需要融资1000-9999人,8-12K,https://www.zhipin.com//job_detail/13c8fd66edcef16a1nZ82NS7F1FZ.html
57,57,小皮,其他行业,数据分析,深圳·福田区·车公庙,经验不限学历不限,其他行业D轮及以上500-999人,8-10K,https://www.zhipin.com//job_detail/237af3a2ffa704c03nZ60921FFc~.html
58,58,深圳名扬会计师事务所,其他行业,数据分析与处理,深圳·罗湖区·国贸,1-3年大专,其他行业0-20人,6-7K,https://www.zhipin.com//job_detail/cd9358c52d0da7993nxy3tu4FFI~.html
59,59,深圳新致,计算机软件,数据分析师,深圳·福田区·市民中心,3-5年本科,计算机软件1000-9999人,15-23K·13薪,https://www.zhipin.com//job_detail/b1ee90a9bb1f1fef1nB50921EldR.html
60,60,历桥科技,计算机软件,数据分析助理,深圳·福田区·华强南,经验不限本科,计算机软件20-99人,6-9K·14薪,https://www.zhipin.com//job_detail/575ba6d39d6685391nN70925F1FT.html
61,61,十百千,电子商务,数据分析师,深圳,1年以内大专,电子商务0-20人,5-6K,https://www.zhipin.com//job_detail/b444fc5919b2991a1nB_0t-9F1RR.html
62,62,梵格思,贸易/进出口,数据分析助理,深圳·南山区·南头,1-3年大专,贸易/进出口20-99人,7-11K,https://www.zhipin.com//job_detail/d45509a3a8253fe333142t-1GVA~.html
63,63,和鲜食品科技,其他行业,数据分析主管,深圳·南山区·西丽,3-5年大专,其他行业不需要融资100-499人,9-12K,https://www.zhipin.com//job_detail/7c616c4954c9ed491n1y09S0F1NY.html
64,64,美亚柏科,信息安全,数据分析师,深圳·福田区·上步,经验不限本科,信息安全已上市1000-9999人,9-14K,https://www.zhipin.com//job_detail/c1b9a909d125db0f1nd629W-GVdV.html
65,65,腾讯,互联网,数据分析实习生,深圳·南山区·科技园,5天/周5个月硕士,互联网不需要融资10000人以上,100-120元/天,https://www.zhipin.com//job_detail/f7b5268ff85cdda73nJ_29y6GVQ~.html
66,66,山猫,贸易/进出口,数据分析师,深圳·龙岗区·龙岗中心城,经验不限大专,贸易/进出口0-20人,13-23K,https://www.zhipin.com//job_detail/ca4369ca8ef062701nx83di7EVtR.html
67,67,玖诚建筑工程,工程施工,数据分析师,深圳·光明区·光明,经验不限本科,工程施工0-20人,6-10K,https://www.zhipin.com//job_detail/0581f529e7bdeacd1nZ-29i0FFNQ.html
68,68,物恩,贸易/进出口,数据分析师,深圳·龙岗区·龙岗宝荷,经验不限本科,贸易/进出口未融资0-20人,6-8K,https://www.zhipin.com//job_detail/4f28635cf964fcac1nZ73ty4EldR.html
69,69,方瑞厨具,家具/家电/家居,数据分析专员,深圳·罗湖区·黄贝,1-3年本科,家具/家电/家居不需要融资500-999人,8-10K,https://www.zhipin.com//job_detail/1d0718142c4889af1nx82NS8EVtT.html
70,70,LocalGravity,咨询,数据分析师,深圳·福田区·沙头,1年以内大专,咨询A轮100-499人,4-6K,https://www.zhipin.com//job_detail/48b5a4d82641db371HF_0tq6GVA~.html
71,71,天阳科技,计算机软件,数据分析师,深圳·福田区·市民中心,3-5年本科,计算机软件已上市1000-9999人,11-17K,https://www.zhipin.com//job_detail/cfc4a4f54637a4b21nZ72924GVpV.html
72,72,巨拓科技,移动互联网,数据分析师（电商行业）,深圳,1-3年大专,移动互联网A轮100-499人,8-10K,https://www.zhipin.com//job_detail/8d641118c84c93931nx53d-4EFVT.html
73,73,东聚文化传媒,培训机构,数据分析师,深圳·龙华区·龙华,1-3年大专,培训机构未融资20-99人,10-11K,https://www.zhipin.com//job_detail/5ea8a0f6c1f4a70c1nJ509i7EFJR.html
74,74,深圳圣亚商务信息...,互联网金融,数据分析师,深圳·宝安区·福永,1年以内学历不限,互联网金融0-20人,6-10K,https://www.zhipin.com//job_detail/e9bb2e37030c58961nV93t2_EltZ.html
75,75,科极星球,计算机硬件,数据分析师,深圳·南山区·科技园,经验不限本科,计算机硬件未融资20-99人,8-13K,https://www.zhipin.com//job_detail/95e8708969da72ee1nN73969F1ZQ.html
76,76,深慧谷电子商务,贸易/进出口,跨境电商数据分析,深圳·龙岗区·坂田,1-3年大专,贸易/进出口不需要融资20-99人,7-12K,https://www.zhipin.com//job_detail/54449ffa300f47ed1nx-39-8FVtQ.html
77,77,神策数据,数据服务,数据分析师,深圳·南山区·科技园,1-3年大专,数据服务C轮1000-9999人,11-22K·14薪,https://www.zhipin.com//job_detail/fd05a40a2119b4c91nV609u_EFFT.html
78,78,维士智慧健康管理,互联网,资深数据经营分析,深圳·南山区·大冲,5-10年大专,互联网不需要融资100-499人,12-18K,https://www.zhipin.com//job_detail/0a32376b564bedfe1nx80tS-GVBV.html
79,79,亚声威格,互联网,亚马逊选品分析（数据分析）,深圳·龙岗区·坂田,1年以内大专,互联网未融资500-999人,6-8K,https://www.zhipin.com//job_detail/1df5925633989c341nB-29--FlZZ.html
80,80,货拉拉科技,互联网,数据分析经理,深圳·龙岗区·坂田,5-10年大专,互联网D轮及以上10000人以上,25-50K,https://www.zhipin.com//job_detail/43b186401872b0221n1_3d--EVtR.html
81,81,深圳荻安科技有限公司,数据服务,数据分析师,深圳·南山区·蛇口,1-3年大专,数据服务0-20人,10-15K,https://www.zhipin.com//job_detail/ab6934cf6b69c2481nx_3dq4EFBR.html
82,82,华为,计算机软件,数据分析助理,深圳·龙岗区·坂田,1-3年本科,计算机软件不需要融资10000人以上,10-14K·13薪,https://www.zhipin.com//job_detail/73d738c085df7caa0Xx_29W5GFA~.html
83,83,明辰教育,培训机构,数据分析专员/提供住宿,深圳,1年以内大专,培训机构未融资100-499人,6-8K,https://www.zhipin.com//job_detail/6e82ea64b9c274441nJ-2d26GVVU.html
84,84,彭秦曹科技有限公司,广播/影视,大数据分析助理,深圳·宝安区·新安,经验不限大专,广播/影视不需要融资100-499人,7-9K,https://www.zhipin.com//job_detail/a5ca4577e5d46b101nJy0ti1EVBQ.html
85,85,索信达,数据服务,数据分析师,深圳·南山区·科技园,3-5年本科,数据服务已上市500-999人,17-25K·13薪,https://www.zhipin.com//job_detail/633a315c8046527a1n153tu-GFZQ.html
86,86,菲科公司,互联网,市场数据分析师,深圳·宝安区·福永,1-3年大专,互联网未融资100-499人,8-12K,https://www.zhipin.com//job_detail/3e9b95f4a8c4734e3nF53ty8FFI~.html
87,87,微众银行,互联网金融,数据分析师,深圳,1-3年本科,互联网金融不需要融资1000-9999人,8-13K·13薪,https://www.zhipin.com//job_detail/b00c19b888881fbe1nN_39W9ElJR.html
88,88,易城云海,移动互联网,数据分析师,深圳·南山区·南山中心,3-5年大专,移动互联网不需要融资100-499人,12-20K,https://www.zhipin.com//job_detail/58cfaf328678af801nN829y0GVpS.html
89,89,哈稀网络,计算机软件,数据分析,深圳·宝安区·宝安中心区,3-5年本科,计算机软件B轮100-499人,15-30K,https://www.zhipin.com//job_detail/272535a9eb310e431nxy0965FlpT.html
90,90,网联安瑞,计算机软件,数据分析师,深圳·福田区·岗厦,1-3年本科,计算机软件100-499人,10-15K·15薪,https://www.zhipin.com//job_detail/42b521e0e130163d33B62926Elc~.html
91,91,波特空间设计,装修装饰,初级数据分析师,深圳,1-3年大专,装修装饰0-20人,6-8K,https://www.zhipin.com//job_detail/fae1ecf49adcad881nF-39y5F1RS.html
92,92,立创商城 ,电子商务,数据分析师,深圳·福田区·梅林,5-10年本科,电子商务A轮500-999人,15-30K,https://www.zhipin.com//job_detail/6f4d4c879670c0991nx-39u4FFZR.html
93,93,玉禾田,企业服务,数据分析经理,深圳·福田区·车公庙,3-5年本科,企业服务已上市10000人以上,10-15K,https://www.zhipin.com//job_detail/fd667bcd459cfbad3nd72967FFA~.html
94,94,万师傅,互联网,数据分析,深圳·宝安区·西乡,1-3年本科,互联网A轮500-999人,15-25K·13薪,https://www.zhipin.com//job_detail/fc7e540fc42e9c941nx73NW0EFNR.html
95,95,D家,服装/纺织/皮革,数据分析专员,深圳·南山区·西丽,1-3年本科,服装/纺织/皮革未融资100-499人,8-10K,https://www.zhipin.com//job_detail/7e47cefe3a3fa7401nx439i9F1VR.html
96,96,裕威龙科技,数据服务,数据分析师,深圳·罗湖区·园岭,1-3年大专,数据服务500-999人,6-8K,https://www.zhipin.com//job_detail/e8a442111aba87731nV509q7FFRR.html
97,97,翰竺科技,计算机软件,数据分析师,深圳·福田区·华强南,经验不限本科,计算机软件不需要融资100-499人,16-20K,https://www.zhipin.com//job_detail/cec7f3b17d25ce8a1nV809i0ElRS.html
98,98,中科创达软件,计算机软件,大数据分析师,深圳·福田区·车公庙,3-5年大专,计算机软件已上市1000-9999人,15-30K,https://www.zhipin.com//job_detail/2716ef7d755ea3731n1y2Ni1EFBR.html
99,99,索迪,其他专业服务,数据分析师,深圳·龙华区·龙华,1-3年本科,其他专业服务不需要融资20-99人,6-9K,https://www.zhipin.com//job_detail/f7fc4bcf6758d83f1nN82d68FVBS.html
100,100,万人机构,咨询,数据分析/研究员,深圳·龙华区·清湖,经验不限本科,咨询已上市20-99人,5-8K,https://www.zhipin.com//job_detail/0c5b61be0c9ba0711nZ-2N2-FlBW.html
